Ключ проблемы,Идентификатор проблемы,Идентификатор родителя,Статус,Создано,Обновленo,Исполнитель,Пользовательское поле (Story Points),Тема,Создатель
ANLP-1251,299958,,Backlog,03.06.2024 16:49 ,03.06.2024 16:49 ,klekovkinve,,ТехДолг. Заменить фильтрацию хардкодом на условный атрибут,klekovkinve
SA-185,299942,,Backlog,03.06.2024 16:12 ,03.06.2024 16:13 ,,,Доразбор топика ИЖС СБР,balitskayaav
ANL-2553,299866,,Backlog,03.06.2024 13:52 ,03.06.2024 13:53 ,flerinvs,3.0,Задача от Картаева,flerinvs
ANL-2552,299837,,Сделaть,03.06.2024 12:47 ,03.06.2024 12:52 ,balitskayaav,3.0, Сделать автоматизацию по втб укэп ,balitskayaav
ANL-2551,299826,,В работе,03.06.2024 12:30 ,03.06.2024 15:39 ,nikishinpa,5.0,MBO атрибуты и ревью,nikishinpa
ANL-2550,299821,,Hold,03.06.2024 12:22 ,04.06.2024 09:20 ,balitskayaav,2.0,Разобраться с рахождением дат в ижс сбр,balitskayaav
ANL-2548,299766,,В работе,03.06.2024 10:19 ,03.06.2024 14:09 ,mikhaelyanta,5.0,Исправить ошибку в ЭР,mikhaelyanta
ANL-2547,299665,,Сделaть,31.05.2024 18:34 ,03.06.2024 12:52 ,flerinvs,1.0,Передача дел Владу (чаты) Ч.2,flerinvs
ANL-2546,299664,,Сделaть,31.05.2024 18:33 ,03.06.2024 12:52 ,flerinvs,1.0,собрать инженерные задачи от BI ,flerinvs
DE-1771,299580,,Backlog,31.05.2024 15:20 ,31.05.2024 15:20 ,,, Добавить новые витрины в слой,balitskayaav
SA-183,299540,,Backlog,31.05.2024 13:24 ,31.05.2024 13:24 ,,,Сборка витрины для отчета ЭР,mikhaelyanta
DE-1769,299538,,Backlog,31.05.2024 13:21 ,31.05.2024 13:21 ,,,Автоматизировать сводку SLT на стороне инженеров ,balitskayaav
DE-1768,299510,,Backlog,31.05.2024 12:47 ,31.05.2024 12:48 ,,,Материализовать вьюху ,mikhaelyanta
ANL-2544,299485,,Готово,31.05.2024 11:57 ,03.06.2024 10:01 ,mikhaelyanta,1.0,Добавить новый тариф по ДКП для ВТБ,mikhaelyanta
SAD-27664,299432,,Готово,31.05.2024 10:15 ,03.06.2024 14:03 ,sidorovmv,,выдача доступа,mikhaelyanta
ANL-2543,299414,,Backlog,31.05.2024 09:18 ,03.06.2024 12:57 ,mikhaelyanta,2.0,Проверить связку СУП и ЭР,mikhaelyanta
SA-181,299228,,Backlog,30.05.2024 14:53 ,30.05.2024 14:55 ,,,Ошибка в разборе deal-online-v2.deal.events,klekovkinve
DE-1767,299126,,В работе,30.05.2024 11:10 ,03.06.2024 14:30 ,yumatovad,,Перенести витрины,balitskayaav
ANL-2539,298882,,Готово,29.05.2024 11:59 ,03.06.2024 09:48 ,flerinvs,1.0,Проработать сурсы для отключения от обновления_ч2(декомпозиция),flerinvs
ANL-2538,298855,,В работе,29.05.2024 11:01 ,03.06.2024 17:47 ,ManaenkovaOA,,Перенос отчета из cognos в SS,flerinvs
ANL-2537,298822,,Сделать,29.05.2024 09:50 ,29.05.2024 10:00 ,,,Чаты,flerinvs
